Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
270,Entry short,2025-07-16 09:00,Short Entry,329.21,3.037,999.81077,7.26,0.73,1,17.75,1.77,-18.08,-1.81,1134.22,567.11,1
271,Exit short,2025-07-20 17:00,Trailing Stop,322.04,3.055,999.87095,15.05,1.50,0.99,25.53,2.55,-3.01,-0.30,1149.27,574.63,0
271,Entry short,2025-07-20 17:00,Short Entry,327.29,3.055,999.87095,15.05,1.50,0.99,25.53,2.55,-3.01,-0.30,1149.27,574.63,0
272,Exit long,2025-07-25 05:00,Take Profit,294.7,3.498,999.83334,30.01,3.00,1.02,30.53,3.05,-1.62,-0.16,1179.28,589.64,0
272,Entry long,2025-07-25 05:00,Long Entry,285.83,3.498,999.83334,30.01,3.00,1.02,30.53,3.05,-1.62,-0.16,1179.28,589.64,0
273,Exit long,2025-07-30 05:00,Stop Loss,276.85,3.543,999.90546,-20.02,-2.00,0.99,8.04,0.80,-19.53,-1.95,1159.26,579.63,2
273,Entry long,2025-07-29 21:00,Long Entry,282.22,3.543,999.90546,-20.02,-2.00,0.99,8.04,0.80,-19.53,-1.95,1159.26,579.63,2
274,Exit long,2025-07-30 13:00,Trailing Stop,276.69,3.621,999.79431,1.1,0.11,1,11.59,1.16,-0.5,-0.05,1160.36,580.18,0
274,Entry long,2025-07-30 13:00,Long Entry,276.11,3.621,999.79431,1.1,0.11,1,11.59,1.16,-0.5,-0.05,1160.36,580.18,0
275,Exit long,2025-07-31 01:00,Trailing Stop,277.4,3.642,999.80184,9.48,0.95,1.01,19.97,2.00,-5.71,-0.57,1169.84,584.92,1
275,Entry long,2025-07-30 21:00,Long Entry,274.52,3.642,999.80184,9.48,0.95,1.01,19.97,2.00,-5.71,-0.57,1169.84,584.92,1
276,Exit short,2025-08-11 09:00,Take Profit,295.69,3.277,999.97655,30.02,3.00,0.98,30.5,3.05,-9.94,-0.99,1199.86,599.93,1
276,Entry short,2025-08-11 05:00,Short Entry,305.15,3.277,999.97655,30.02,3.00,0.98,30.5,3.05,-9.94,-0.99,1199.86,599.93,1
277,Exit short,2025-08-13 05:00,Stop Loss,329.1,3.096,999.88416,-20.02,-2.00,1.01,5.57,0.56,-19.51,-1.95,1179.84,589.92,0
277,Entry short,2025-08-13 05:00,Short Entry,322.96,3.096,999.88416,-20.02,-2.00,1.01,5.57,0.56,-19.51,-1.95,1179.84,589.92,0
278,Exit short,2025-08-13 13:00,Stop Loss,329.4,3.093,999.81225,-20.03,-2.00,1.01,0.49,0.05,-19.52,-1.95,1159.81,579.90,0
278,Entry short,2025-08-13 13:00,Short Entry,323.25,3.093,999.81225,-20.03,-2.00,1.01,0.49,0.05,-19.52,-1.95,1159.81,579.90,0
279,Exit short,2025-08-14 09:00,Take Profit,320.79,3.02,999.8012,30.03,3.00,0.98,30.52,3.05,-1.32,-0.13,1189.84,594.92,1
279,Entry short,2025-08-14 05:00,Short Entry,331.06,3.02,999.8012,30.03,3.00,0.98,30.52,3.05,-1.32,-0.13,1189.84,594.92,1
280,Exit long,2025-09-26 01:00,Stop Loss,261.07,3.757,999.85041,-20,-2.00,0.99,0.21,0.02,-19.51,-1.95,1169.84,584.92,0
280,Entry long,2025-09-26 01:00,Long Entry,266.13,3.757,999.85041,-20,-2.00,0.99,0.21,0.02,-19.51,-1.95,1169.84,584.92,0
281,Exit long,2025-09-26 13:00,Trailing Stop,269.93,3.774,1000.14774,17.56,1.75,1.01,28.07,2.81,-1.71,-0.17,1187.4,593.70,0
281,Entry long,2025-09-26 13:00,Long Entry,265.01,3.774,1000.14774,17.56,1.75,1.01,28.07,2.81,-1.71,-0.17,1187.4,593.70,0
282,Exit long,2025-10-17 09:00,Stop Loss,205.98,4.762,999.87714,-19.99,-2.00,0.99,6.69,0.67,-19.5,-1.95,1167.41,583.70,0
282,Entry long,2025-10-17 09:00,Long Entry,209.97,4.762,999.87714,-19.99,-2.00,0.99,6.69,0.67,-19.5,-1.95,1167.41,583.70,0
283,Exit long,2025-10-18 01:00,Trailing Stop,209.26,4.843,999.98264,12.46,1.25,1.01,22.94,2.29,-6.31,-0.63,1179.86,589.93,1
283,Entry long,2025-10-17 21:00,Long Entry,206.48,4.843,999.98264,12.46,1.25,1.01,22.94,2.29,-6.31,-0.63,1179.86,589.93,1
284,Exit long,2025-11-03 17:00,Stop Loss,198.82,4.933,999.82044,-20.03,-2.00,0.99,5.67,0.57,-19.54,-1.95,1159.83,579.92,0
284,Entry long,2025-11-03 17:00,Long Entry,202.68,4.933,999.82044,-20.03,-2.00,0.99,5.67,0.57,-19.54,-1.95,1159.83,579.92,0
285,Exit long,2025-11-04 01:00,Stop Loss,200.63,4.889,999.89828,-20.01,-2.00,0.99,2.29,0.23,-19.52,-1.95,1139.82,569.91,0
285,Entry long,2025-11-04 01:00,Long Entry,204.52,4.889,999.89828,-20.01,-2.00,0.99,2.29,0.23,-19.52,-1.95,1139.82,569.91,0
286,Exit long,2025-11-04 09:00,Take Profit,203.76,5.06,1000.0078,30,3.00,1.02,30.52,3.05,-17.3,-1.73,1169.83,584.91,0
286,Entry long,2025-11-04 09:00,Long Entry,197.63,5.06,1000.0078,30,3.00,1.02,30.52,3.05,-17.3,-1.73,1169.83,584.91,0
287,Exit long,2025-11-04 21:00,Stop Loss,184.45,5.318,999.94354,-20.03,-2.00,0.99,0,0.00,-19.54,-1.95,1149.8,574.90,0
287,Entry long,2025-11-04 21:00,Long Entry,188.03,5.318,999.94354,-20.03,-2.00,0.99,0,0.00,-19.54,-1.95,1149.8,574.90,0
288,Exit long,2025-11-17 01:00,Take Profit,178.14,5.787,999.87786,30,3.00,1.02,30.52,3.05,-12.65,-1.26,1179.8,589.90,1
288,Entry long,2025-11-16 21:00,Long Entry,172.78,5.787,999.87786,30,3.00,1.02,30.52,3.05,-12.65,-1.26,1179.8,589.90,1
289,Exit long,2025-11-17 21:00,Trailing Stop,169.43,5.915,999.93075,1.25,0.12,1,11.74,1.17,-0.5,-0.05,1181.05,590.52,0
289,Entry long,2025-11-17 21:00,Long Entry,169.05,5.915,999.93075,1.25,0.12,1,11.74,1.17,-0.5,-0.05,1181.05,590.52,0
290,Exit long,2025-11-20 01:00,Trailing Stop,174.97,5.733,999.8352,2.27,0.23,1,12.74,1.27,-7.09,-0.71,1183.31,591.66,1
290,Entry long,2025-11-19 21:00,Long Entry,174.4,5.733,999.8352,2.27,0.23,1,12.74,1.27,-7.09,-0.71,1183.31,591.66,1
291,Exit long,2025-11-20 21:00,Trailing Stop,166.29,6.077,1000.03112,9.51,0.95,1.01,19.98,2.00,-17.52,-1.75,1192.82,596.41,0
291,Entry long,2025-11-20 21:00,Long Entry,164.56,6.077,1000.03112,9.51,0.95,1.01,19.98,2.00,-17.52,-1.75,1192.82,596.41,0
292,Exit short,2025-11-25 09:00,Trailing Stop,175.72,5.639,999.96387,8.08,0.81,1,18.56,1.86,-16.29,-1.63,1200.91,600.45,0
292,Entry short,2025-11-25 09:00,Short Entry,177.33,5.639,999.96387,8.08,0.81,1,18.56,1.86,-16.29,-1.63,1200.91,600.45,0
