Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
158,Exit short,2023-11-16 05:00,Take Profit,1.0484,924.214,999.999548,30.07,3.01,0.98,30.55,3.05,-14.36,-1.44,870.08,435.04,0
158,Entry short,2023-11-16 05:00,Short Entry,1.082,924.214,999.999548,30.07,3.01,0.98,30.55,3.05,-14.36,-1.44,870.08,435.04,0
159,Exit short,2023-11-26 13:00,Take Profit,1.1802,821.018,999.999924,30.05,3.00,0.98,30.53,3.05,-7.07,-0.71,900.13,450.07,0
159,Entry short,2023-11-26 13:00,Short Entry,1.218,821.018,999.999924,30.05,3.00,0.98,30.53,3.05,-7.07,-0.71,900.13,450.07,0
160,Exit short,2023-12-08 21:00,Stop Loss,1.2891,789.889,999.209585,-20.05,-2.01,1.01,0,0.00,-19.54,-1.95,880.09,440.04,0
160,Entry short,2023-12-08 21:00,Short Entry,1.265,789.889,999.209585,-20.05,-2.01,1.01,0,0.00,-19.54,-1.95,880.09,440.04,0
161,Exit short,2023-12-09 13:00,Trailing Stop,1.2668,779.423,999.999709,11.63,1.16,0.99,22.1,2.21,-3.62,-0.36,891.72,445.86,0
161,Entry short,2023-12-09 13:00,Short Entry,1.283,779.423,999.999709,11.63,1.16,0.99,22.1,2.21,-3.62,-0.36,891.72,445.86,0
162,Exit long,2023-12-12 01:00,Trailing Stop,1.1942,847.457,999.99926,11.03,1.10,1.01,21.53,2.15,-2.19,-0.22,902.75,451.37,1
162,Entry long,2023-12-11 21:00,Long Entry,1.18,847.457,999.99926,11.03,1.10,1.01,21.53,2.15,-2.19,-0.22,902.75,451.37,1
163,Exit short,2023-12-13 01:00,Take Profit,1.2354,784.313,999.999075,30.07,3.01,0.98,30.56,3.05,-5.21,-0.52,932.82,466.41,0
163,Entry short,2023-12-13 01:00,Short Entry,1.275,784.313,999.999075,30.07,3.01,0.98,30.56,3.05,-5.21,-0.52,932.82,466.41,0
164,Exit long,2023-12-18 17:00,Trailing Stop,1.1298,887.311,999.999497,1.48,0.15,1,11.92,1.19,-7.6,-0.76,934.31,467.15,1
164,Entry long,2023-12-18 13:00,Long Entry,1.127,887.311,999.999497,1.48,0.15,1,11.92,1.19,-7.6,-0.76,934.31,467.15,1
165,Exit short,2023-12-23 17:00,Stop Loss,1.3686,744.047,999.255121,-20.06,-2.01,1.01,0.99,0.10,-19.55,-1.96,914.25,457.12,1
165,Entry short,2023-12-23 13:00,Short Entry,1.343,744.047,999.255121,-20.06,-2.01,1.01,0.99,0.10,-19.55,-1.96,914.25,457.12,1
166,Exit short,2023-12-25 21:00,Stop Loss,1.5907,640.614,999.998454,-20.04,-2.00,1.01,5.91,0.59,-19.53,-1.95,894.21,447.11,1
166,Entry short,2023-12-25 17:00,Short Entry,1.561,640.614,999.998454,-20.04,-2.00,1.01,5.91,0.59,-19.53,-1.95,894.21,447.11,1
