Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
315,Exit long,2026-05-16 05:00,Stop Loss,2180.07,0.4499,999.81277,-19.99,-2.00,0.99,3.32,0.33,-19.5,-1.95,806.04,403.02,3
315,Entry long,2026-05-15 17:00,Long Entry,2222.3,0.4499,999.81277,-19.99,-2.00,0.99,3.32,0.33,-19.5,-1.95,806.04,403.02,3
316,Exit long,2026-05-19 01:00,Trailing Stop,2125.75,0.4707,1000.00215,-0.41,-0.04,1,10.09,1.01,-5.67,-0.57,805.63,402.81,2
316,Entry long,2026-05-18 17:00,Long Entry,2124.5,0.4707,1000.00215,-0.41,-0.04,1,10.09,1.01,-5.67,-0.57,805.63,402.81,2
317,Exit long,2026-05-23 01:00,Stop Loss,2025.75,0.4842,999.868158,-19.99,-2.00,0.99,2.46,0.25,-19.5,-1.95,785.64,392.82,1
317,Entry long,2026-05-22 21:00,Long Entry,2064.99,0.4842,999.868158,-19.99,-2.00,0.99,2.46,0.25,-19.5,-1.95,785.64,392.82,1
318,Exit long,2026-05-23 17:00,Take Profit,2093.41,0.4924,999.798504,29.98,3.00,1.02,30.5,3.05,-2.65,-0.26,815.62,407.81,2
318,Entry long,2026-05-23 09:00,Long Entry,2030.46,0.4924,999.798504,29.98,3.00,1.02,30.5,3.05,-2.65,-0.26,815.62,407.81,2
319,Exit long,2026-06-01 17:00,Trailing Stop,1989.62,0.5048,999.872504,3.49,0.35,1,13.98,1.40,-13.78,-1.38,819.11,409.55,2
319,Entry long,2026-06-01 09:00,Long Entry,1980.73,0.5048,999.872504,3.49,0.35,1,13.98,1.40,-13.78,-1.38,819.11,409.55,2
320,Exit long,2026-06-03 21:00,Stop Loss,1778.01,0.5517,999.928665,-19.99,-2.00,0.99,3.61,0.36,-19.5,-1.95,799.11,399.56,0
320,Entry long,2026-06-03 21:00,Long Entry,1812.45,0.5517,999.928665,-19.99,-2.00,0.99,3.61,0.36,-19.5,-1.95,799.11,399.56,0
321,Exit long,2026-06-04 21:00,Stop Loss,1742.15,0.563,999.8317,-19.99,-2.00,0.99,5.96,0.60,-19.5,-1.95,779.12,389.56,2
321,Entry long,2026-06-04 13:00,Long Entry,1775.9,0.563,999.8317,-19.99,-2.00,0.99,5.96,0.60,-19.5,-1.95,779.12,389.56,2
322,Exit long,2026-06-06 05:00,Trailing Stop,1577.06,0.6351,999.990354,0.6,0.06,1,11.1,1.11,-0.5,-0.05,779.72,389.86,0
322,Entry long,2026-06-06 05:00,Long Entry,1574.54,0.6351,999.990354,0.6,0.06,1,11.1,1.11,-0.5,-0.05,779.72,389.86,0
323,Exit long,2026-06-07 01:00,Trailing Stop,1584.4,0.6411,999.930081,14.82,1.48,1.01,25.32,2.53,-9.42,-0.94,794.54,397.27,3
323,Entry long,2026-06-06 13:00,Long Entry,1559.71,0.6411,999.930081,14.82,1.48,1.01,25.32,2.53,-9.42,-0.94,794.54,397.27,3
324,Exit long,2026-06-25 21:00,Stop Loss,1537.2,0.6381,999.889938,-19.99,-2.00,0.99,2.14,0.21,-19.5,-1.95,774.55,387.28,0
324,Entry long,2026-06-25 21:00,Long Entry,1566.98,0.6381,999.889938,-19.99,-2.00,0.99,2.14,0.21,-19.5,-1.95,774.55,387.28,0
325,Exit long,2026-06-26 05:00,Stop Loss,1549.79,0.6329,999.861749,-19.99,-2.00,0.99,0.47,0.05,-19.5,-1.95,754.56,377.28,0
325,Entry long,2026-06-26 05:00,Long Entry,1579.81,0.6329,999.861749,-19.99,-2.00,0.99,0.47,0.05,-19.5,-1.95,754.56,377.28,0
326,Exit long,2026-06-27 13:00,Trailing Stop,1594.65,0.6331,999.867492,8.7,0.87,1,19.2,1.92,-8.22,-0.82,763.26,381.63,6
326,Entry long,2026-06-26 13:00,Long Entry,1579.32,0.6331,999.867492,8.7,0.87,1,19.2,1.92,-8.22,-0.82,763.26,381.63,6
327,Exit short,2026-07-04 09:00,Stop Loss,1786.45,0.5704,999.991056,-20.01,-2.00,1.01,1,0.10,-19.5,-1.95,743.25,371.63,2
327,Entry short,2026-07-04 01:00,Short Entry,1753.14,0.5704,999.991056,-20.01,-2.00,1.01,1,0.10,-19.5,-1.95,743.25,371.63,2
328,Exit short,2026-07-07 13:00,Stop Loss,1804.35,0.5647,999.91429,-20.01,-2.00,1.01,7.45,0.74,-19.5,-1.95,723.24,361.62,3
328,Entry short,2026-07-07 01:00,Short Entry,1770.7,0.5647,999.91429,-20.01,-2.00,1.01,7.45,0.74,-19.5,-1.95,723.24,361.62,3
329,Exit short,2026-07-11 09:00,Stop Loss,1824.5,0.5585,999.98308,-20.01,-2.00,1.01,5.72,0.57,-19.5,-1.95,703.23,351.61,5
329,Entry short,2026-07-10 13:00,Short Entry,1790.48,0.5585,999.98308,-20.01,-2.00,1.01,5.72,0.57,-19.5,-1.95,703.23,351.61,5
330,Exit short,2026-07-12 09:00,Stop Loss,1820.64,0.5596,999.831724,-20.01,-2.00,1.01,4.22,0.42,-19.5,-1.95,683.22,341.61,3
330,Entry short,2026-07-11 21:00,Short Entry,1786.69,0.5596,999.831724,-20.01,-2.00,1.01,4.22,0.42,-19.5,-1.95,683.22,341.61,3
331,Exit short,2026-07-22 05:00,Trailing Stop,1928.62,0.5178,999.814842,0.18,0.02,1,10.67,1.07,-7.28,-0.73,683.4,341.70,4
331,Entry short,2026-07-21 13:00,Short Entry,1930.89,0.5178,999.814842,0.18,0.02,1,10.67,1.07,-7.28,-0.73,683.4,341.70,4
332,Exit short,2026-07-23 17:00,Trailing Stop,1887.42,0.5197,999.907997,18.03,1.80,0.99,28.51,2.85,-9.15,-0.91,701.42,350.71,6
332,Entry short,2026-07-22 17:00,Short Entry,1924.01,0.5197,999.907997,18.03,1.80,0.99,28.51,2.85,-9.15,-0.91,701.42,350.71,6
333,Exit short,2026-07-27 13:00,Trailing Stop,1937.48,0.5105,999.952085,9.87,0.99,0.99,20.36,2.04,-10.1,-1.01,711.3,355.65,1
333,Entry short,2026-07-27 09:00,Short Entry,1958.77,0.5105,999.952085,9.87,0.99,0.99,20.36,2.04,-10.1,-1.01,711.3,355.65,1
