Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
56,Entry long,2022-08-29 01:00,Long Entry,0.1619,6172.839,999.3826341,3.26,0.33,1,13.7,1.37,-10.99,-1.10,351.86,175.93,1
57,Exit short,2022-09-06 01:00,Stop Loss,0.18842,5411.255,1000.54105,-20.06,-2.00,1.01,0.58,0.06,-19.55,-1.95,331.81,165.90,0
57,Entry short,2022-09-06 01:00,Short Entry,0.1849,5411.255,1000.54105,-20.06,-2.00,1.01,0.58,0.06,-19.55,-1.95,331.81,165.90,0
58,Exit short,2022-09-06 21:00,Trailing Stop,0.18153,5440.696,999.4558552,10.81,1.08,0.99,21.26,2.13,-10.29,-1.03,342.62,171.31,1
58,Entry short,2022-09-06 17:00,Short Entry,0.1837,5440.696,999.4558552,10.81,1.08,0.99,21.26,2.13,-10.29,-1.03,342.62,171.31,1
59,Exit long,2022-09-14 09:00,Trailing Stop,0.16368,6161.429,999.9999267,7.5,0.75,1,17.98,1.80,-13.44,-1.34,350.12,175.06,0
59,Entry long,2022-09-14 09:00,Long Entry,0.1623,6161.429,999.9999267,7.5,0.75,1,17.98,1.80,-13.44,-1.34,350.12,175.06,0
60,Exit long,2022-09-14 21:00,Stop Loss,0.1596,6142.506,999.3857262,-20.03,-2.00,0.99,2.57,0.26,-19.54,-1.95,330.09,165.04,0
60,Entry long,2022-09-14 21:00,Long Entry,0.1627,6142.506,999.3857262,-20.03,-2.00,0.99,2.57,0.26,-19.54,-1.95,330.09,165.04,0
61,Exit long,2022-09-15 05:00,Stop Loss,0.15794,6211.18,999.99998,-20,-2.00,0.99,1.36,0.14,-19.51,-1.95,310.09,155.04,0
61,Entry long,2022-09-15 05:00,Long Entry,0.161,6211.18,999.99998,-20,-2.00,0.99,1.36,0.14,-19.51,-1.95,310.09,155.04,0
62,Exit long,2022-09-16 09:00,Stop Loss,0.15205,6451.612,999.99986,-20.02,-2.00,0.99,8.53,0.85,-19.53,-1.95,290.07,145.03,1
62,Entry long,2022-09-16 05:00,Long Entry,0.155,6451.612,999.99986,-20.02,-2.00,0.99,8.53,0.85,-19.53,-1.95,290.07,145.03,1
63,Exit long,2022-09-19 05:00,Trailing Stop,0.14882,6752.194,999.9999314,3.86,0.39,1,14.35,1.43,-0.5,-0.05,293.93,146.96,0
63,Entry long,2022-09-19 05:00,Long Entry,0.1481,6752.194,999.9999314,3.86,0.39,1,14.35,1.43,-0.5,-0.05,293.93,146.96,0
64,Exit long,2022-09-21 01:00,Stop Loss,0.14322,6854.009,1000.685314,-20.05,-2.00,0.99,4.3,0.43,-19.55,-1.95,273.88,136.94,0
64,Entry long,2022-09-21 01:00,Long Entry,0.146,6854.009,1000.685314,-20.05,-2.00,0.99,4.3,0.43,-19.55,-1.95,273.88,136.94,0
65,Exit long,2022-09-21 13:00,Stop Loss,0.14126,6944.444,999.999936,-20.02,-2.00,0.99,6.44,0.64,-19.53,-1.95,253.86,126.93,1
65,Entry long,2022-09-21 09:00,Long Entry,0.144,6944.444,999.999936,-20.02,-2.00,0.99,6.44,0.64,-19.53,-1.95,253.86,126.93,1
66,Exit long,2022-09-22 09:00,Take Profit,0.14785,6973.5,999.9999,30.02,3.00,1.02,30.53,3.05,-5.38,-0.54,283.88,141.94,2
66,Entry long,2022-09-22 01:00,Long Entry,0.1434,6973.5,999.9999,30.02,3.00,1.02,30.53,3.05,-5.38,-0.54,283.88,141.94,2
67,Exit short,2022-10-06 09:00,Trailing Stop,0.16252,6142.506,999.9999768,0.72,0.07,1,11.17,1.12,-10.33,-1.03,284.6,142.30,1
67,Entry short,2022-10-06 05:00,Short Entry,0.1628,6142.506,999.9999768,0.72,0.07,1,11.17,1.12,-10.33,-1.03,284.6,142.30,1
68,Exit long,2022-10-21 21:00,Trailing Stop,0.13486,7423.904,1000.742259,-0.56,-0.06,1,9.89,0.99,-7.18,-0.72,284.04,142.02,2
68,Entry long,2022-10-21 13:00,Long Entry,0.1348,7423.904,1000.742259,-0.56,-0.06,1,9.89,0.99,-7.18,-0.72,284.04,142.02,2
69,Exit short,2022-10-28 21:00,Stop Loss,0.15459,6591.957,999.9998769,-20.06,-2.01,1.01,0.16,0.02,-19.55,-1.95,263.98,131.99,0
69,Entry short,2022-10-28 21:00,Short Entry,0.1517,6591.957,999.9998769,-20.06,-2.01,1.01,0.16,0.02,-19.55,-1.95,263.98,131.99,0
70,Exit short,2022-10-29 09:00,Trailing Stop,0.15264,6468.305,1001.293614,12.98,1.30,0.99,23.43,2.34,-6.32,-0.63,276.96,138.48,1
70,Entry short,2022-10-29 05:00,Short Entry,0.1548,6468.305,1001.293614,12.98,1.30,0.99,23.43,2.34,-6.32,-0.63,276.96,138.48,1
71,Exit short,2022-10-30 09:00,Take Profit,0.15232,6365.372,1000.636478,30.08,3.00,0.99,30.56,3.05,-1.77,-0.18,307.04,153.52,0
71,Entry short,2022-10-30 09:00,Short Entry,0.1572,6365.372,1000.636478,30.08,3.00,0.99,30.56,3.05,-1.77,-0.18,307.04,153.52,0
72,Exit long,2022-11-22 21:00,Take Profit,0.1095,9416.195,999.999909,30.06,3.00,1.02,30.57,3.06,-9.92,-0.99,337.1,168.55,2
72,Entry long,2022-11-22 13:00,Long Entry,0.1062,9416.195,999.999909,30.06,3.00,1.02,30.57,3.06,-9.92,-0.99,337.1,168.55,2
73,Exit short,2022-12-07 01:00,Take Profit,0.11686,8298.755,1000.829853,30.05,3.00,0.99,30.54,3.05,-10.46,-1.04,367.15,183.57,2
73,Entry short,2022-12-06 17:00,Short Entry,0.1206,8298.755,1000.829853,30.05,3.00,0.99,30.54,3.05,-10.46,-1.04,367.15,183.57,2
74,Exit short,2022-12-08 21:00,Trailing Stop,0.12293,8130.081,999.999963,-0.43,-0.04,1,10.07,1.01,-2.94,-0.29,366.72,183.36,0
74,Entry short,2022-12-08 21:00,Short Entry,0.123,8130.081,999.999963,-0.43,-0.04,1,10.07,1.01,-2.94,-0.29,366.72,183.36,0
