Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
293,Exit short,2025-04-18 13:00,Trailing Stop,133.7,7.438,999.81596,4.36,0.44,1,14.82,1.48,-8.53,-0.85,721.71,360.86,3
293,Entry short,2025-04-18 01:00,Short Entry,134.42,7.438,999.81596,4.36,0.44,1,14.82,1.48,-8.53,-0.85,721.71,360.86,3
294,Exit short,2025-04-19 21:00,Stop Loss,141.31,7.21,999.8107,-20.04,-2.00,1.01,7.43,0.74,-19.53,-1.95,701.67,350.83,4
294,Entry short,2025-04-19 05:00,Short Entry,138.67,7.21,999.8107,-20.04,-2.00,1.01,7.43,0.74,-19.53,-1.95,701.67,350.83,4
295,Exit short,2025-04-20 09:00,Trailing Stop,136.89,7.168,1000.00768,17.79,1.78,0.99,28.24,2.82,-2.15,-0.21,719.46,359.73,1
295,Entry short,2025-04-20 05:00,Short Entry,139.51,7.168,1000.00768,17.79,1.78,0.99,28.24,2.82,-2.15,-0.21,719.46,359.73,1
296,Exit short,2025-04-22 17:00,Stop Loss,146.91,6.936,999.96312,-20.01,-2.00,1.01,4.91,0.49,-19.5,-1.95,699.45,349.72,0
296,Entry short,2025-04-22 17:00,Short Entry,144.17,6.936,999.96312,-20.01,-2.00,1.01,4.91,0.49,-19.5,-1.95,699.45,349.72,0
297,Exit short,2025-04-25 01:00,Stop Loss,154.57,6.592,999.87456,-20.06,-2.01,1.01,6.16,0.62,-19.55,-1.95,679.39,339.69,0
297,Entry short,2025-04-25 01:00,Short Entry,151.68,6.592,999.87456,-20.06,-2.01,1.01,6.16,0.62,-19.55,-1.95,679.39,339.69,0
298,Exit short,2025-04-25 17:00,Trailing Stop,151.85,6.464,999.9808,17.43,1.74,0.99,27.88,2.79,-16.92,-1.69,696.82,348.41,2
298,Entry short,2025-04-25 09:00,Short Entry,154.7,6.464,999.9808,17.43,1.74,0.99,27.88,2.79,-16.92,-1.69,696.82,348.41,2
299,Exit short,2025-05-09 13:00,Trailing Stop,170.25,5.856,999.85344,1.87,0.19,1,12.32,1.23,-11.27,-1.13,698.69,349.34,0
299,Entry short,2025-05-09 13:00,Short Entry,170.74,5.856,999.85344,1.87,0.19,1,12.32,1.23,-11.27,-1.13,698.69,349.34,0
300,Exit short,2025-05-10 01:00,Trailing Stop,171.33,5.828,999.85168,0.34,0.03,1,10.81,1.08,-5.98,-0.60,699.03,349.51,0
300,Entry short,2025-05-10 01:00,Short Entry,171.56,5.828,999.85168,0.34,0.03,1,10.81,1.08,-5.98,-0.60,699.03,349.51,0
301,Exit short,2025-05-11 05:00,Trailing Stop,173.89,5.688,999.83664,9.76,0.98,0.99,20.2,2.02,-11.19,-1.12,708.78,354.39,1
301,Entry short,2025-05-11 01:00,Short Entry,175.78,5.688,999.83664,9.76,0.98,0.99,20.2,2.02,-11.19,-1.12,708.78,354.39,1
302,Exit short,2025-05-14 01:00,Stop Loss,183.68,5.547,999.84675,-20.04,-2.00,1.01,2,0.20,-19.53,-1.95,688.75,344.37,0
302,Entry short,2025-05-14 01:00,Short Entry,180.25,5.547,999.84675,-20.04,-2.00,1.01,2,0.20,-19.53,-1.95,688.75,344.37,0
303,Exit long,2025-05-31 17:00,Trailing Stop,156.37,6.43,999.9293,4.53,0.45,1,15,1.50,-3.33,-0.33,693.28,346.64,1
303,Entry long,2025-05-31 13:00,Long Entry,155.51,6.43,999.9293,4.53,0.45,1,15,1.50,-3.33,-0.33,693.28,346.64,1
304,Exit long,2025-06-01 17:00,Trailing Stop,155.12,6.49,999.9143,5.81,0.58,1,16.31,1.63,-5.37,-0.54,699.09,349.54,1
304,Entry long,2025-06-01 13:00,Long Entry,154.07,6.49,999.9143,5.81,0.58,1,16.31,1.63,-5.37,-0.54,699.09,349.54,1
305,Exit long,2025-06-06 09:00,Take Profit,151.29,6.815,1000.0331,29.99,3.00,1.02,30.51,3.05,-1.86,-0.19,729.08,364.54,2
305,Entry long,2025-06-06 01:00,Long Entry,146.74,6.815,1000.0331,29.99,3.00,1.02,30.51,3.05,-1.86,-0.19,729.08,364.54,2
306,Exit short,2025-06-11 09:00,Trailing Stop,165.32,6.003,1000.03977,6.63,0.66,1,17.09,1.71,-3.92,-0.39,735.71,367.85,1
306,Entry short,2025-06-11 05:00,Short Entry,166.59,6.003,1000.03977,6.63,0.66,1,17.09,1.71,-3.92,-0.39,735.71,367.85,1
307,Exit short,2025-06-11 17:00,Trailing Stop,160.76,6.151,999.78354,9.95,1.00,0.99,20.41,2.04,-8.31,-0.83,745.66,372.83,0
307,Entry short,2025-06-11 17:00,Short Entry,162.54,6.151,999.78354,9.95,1.00,0.99,20.41,2.04,-8.31,-0.83,745.66,372.83,0
308,Exit long,2025-06-15 01:00,Trailing Stop,146.62,6.918,999.9969,13.31,1.33,1.01,23.78,2.38,-0.92,-0.09,758.98,379.49,1
308,Entry long,2025-06-14 21:00,Long Entry,144.55,6.918,999.9969,13.31,1.33,1.01,23.78,2.38,-0.92,-0.09,758.98,379.49,1
309,Exit long,2025-06-19 21:00,Trailing Stop,146.01,6.876,999.90792,3.05,0.31,1,13.53,1.35,-3.73,-0.37,762.03,381.02,1
309,Entry long,2025-06-19 17:00,Long Entry,145.42,6.876,999.90792,3.05,0.31,1,13.53,1.35,-3.73,-0.37,762.03,381.02,1
